#MV_NAME,MGR_NAME,MV_ID,PATH,SCALE_X,SCALE_Y
#---------------------BG_TEXTURES_0----------------------------
#-----------------GROUND---------------------
BG_TILE_GRASS,ASSET_MGR,0000,res/texture/Ground/grass_S.png,0.5,0.5
BG_TILE_WATER,ASSET_MGR,0001,res/texture/Ground/water.png,0.5,0.5
BG_TILE_SAND,ASSET_MGR,0003,res/texture/Ground/road.png,0.5,0.5
BG_TILE_STONE,ASSET_MGR,0004,res/texture/Ground/stone.png,0.5,0.5
BG_TILE_GRASS2,ASSET_MGR,0005,res/texture/Ground/grass2_S.png,0.5,0.5
BG_TILE_CLIFF11,ASSET_MGR,0006,res/texture/Ground/cliff11.png,0.5,0.5
BG_TILE_CLIFF12,ASSET_MGR,0007,res/texture/Ground/cliff12.png,0.5,0.5
BG_TILE_CLIFF13,ASSET_MGR,0008,res/texture/Ground/cliff13.png,0.5,0.5
BG_TILE_CLIFF21,ASSET_MGR,0009,res/texture/Ground/cliff21.png,0.5,0.5
BG_TILE_CLIFF23,ASSET_MGR,0010,res/texture/Ground/cliff23.png,0.5,0.5
BG_TILE_CLIFF31,ASSET_MGR,0011,res/texture/Ground/cliff31.png,0.5,0.5
BG_TILE_CLIFF32,ASSET_MGR,0012,res/texture/Ground/cliff32.png,0.5,0.5
BG_TILE_CLIFF33,ASSET_MGR,0013,res/texture/Ground/cliff33.png,0.5,0.5
BG_TILE_CLIFF34,ASSET_MGR,0014,res/texture/Ground/cliff4.png,0.5,0.5
BG_TILE_CLIFF35,ASSET_MGR,0015,res/texture/Ground/cliff5.png,0.5,0.5
BG_TILE_CLIFF36,ASSET_MGR,0016,res/texture/Ground/cliff6.png,0.5,0.5
BG_TILE_CLIFF37,ASSET_MGR,0017,res/texture/Ground/cliff7.png,0.5,0.5
BG_TILE_WAY,ASSET_MGR,0018,res/texture/Ground/way.png,0.5,0.5
BG_TILE_BEACH,ASSET_MGR,0019,res/texture/Ground/beach.png,0.5,0.5
#-----------------------------MISC---------------------------------
BG_TILE_BRIDGE,ASSET_MGR,0002,res/texture/Misc/bridge.png,0.5,0.5
BG_TILE_WARSHIP,ASSET_MGR,0021,res/texture/Misc/WarShip_water.png,0.5,0.5
BG_TILE_BRIDGE11,ASSET_MGR,0024,res/texture/Misc/bridge11.png,2.5,2.5
BG_TILE_BRIDGE12,ASSET_MGR,0025,res/texture/Misc/bridge12.png,2.5,2.5
BG_TILE_BRIDGE21,ASSET_MGR,0026,res/texture/Misc/bridge21.png,2.5,2.5
BG_TILE_BRIDGE22,ASSET_MGR,0027,res/texture/Misc/bridge22.png,2.5,2.5
BG_TILE_BRIDGE31,ASSET_MGR,0028,res/texture/Misc/bridge31.png,2.5,2.5
BG_TILE_BRIDGE32,ASSET_MGR,0029,res/texture/Misc/bridge32.png,2.5,2.5
BG_TILE_BRIDGE51,ASSET_MGR,0030,res/texture/Misc/bridge51.png,2.5,2.5
BG_TILE_BRIDGE52,ASSET_MGR,0031,res/texture/Misc/bridge52.png,2.5,2.5
BG_TILE_BRIDGE53,ASSET_MGR,0032,res/texture/Misc/bridge53.png,2.5,2.5
